Source,Target,Type,Kind,Id,Label,timeset,Weight
@a2z_social,1267878743311290368,Directed,Tweets,0,,<[2020-06-02T18:00:28.343Z]>,1
1267878743311290368,@usc,Directed,Has_mention,1,,<[2020-06-02T18:00:28.343Z]>,1
1267878743311290368,"#fighton",Directed,Has_hashtag,2,,<[2020-06-02T18:00:28.343Z]>,1
1267878743311290368,https://www.cbssports.com/college-football/news/usc-ends-relationship-with-booster-after-tweets-calling-for-gun-violence-against-protesters/,Directed,Has_link,3,,<[2020-06-02T18:00:28.343Z]>,1
@atlagainsthate,1267878744112365572,Directed,Tweets,4,,<[2020-06-02T18:00:28.484Z]>,1
@jacobsteinberg,1267491104049504261,Directed,Tweets,5,,<[2020-06-02T18:00:28.484Z]>,1
1267491104049504261,@sanjaykickitout,Directed,Has_mention,6,,<[2020-06-02T18:00:28.484Z]>,1
1267491104049504261,@kickitout,Directed,Has_mention,7,,<[2020-06-02T18:00:28.484Z]>,1
1267491104049504261,https://www.theguardian.com/football/2020/jun/01/kick-it-out-urges-all-players-to-take-knee-over-george-floyd-and-no-fa-sanctions,Directed,Has_link,8,,<[2020-06-02T18:00:28.484Z]>,1
@atlagainsthate,@jacobsteinberg,Directed,Retweets_from,9,,<[2020-06-02T18:00:28.484Z]>,1
@atlagainsthate,1267491104049504261,Directed,Retweets,10,,<[2020-06-02T18:00:28.484Z]>,1
@coxasdefrango,1267878744930365444,Directed,Tweets,11,,<[2020-06-02T18:00:28.877Z]>,1
@footballfunnnys,1266013369934413825,Directed,Tweets,12,,"<[2020-06-02T18:00:28.878Z, 2020-06-02T18:21:39.509Z]>",1
1266013369934413825,http://pbs.twimg.com/ext_tw_video_thumb/1190082330976755713/pu/img/OhZ81ozIz_e61Uvk.jpg,Directed,Has_media,13,,"<[2020-06-02T18:00:28.878Z, 2020-06-02T18:21:39.509Z]>",1
@coxasdefrango,@footballfunnnys,Directed,Retweets_from,14,,<[2020-06-02T18:00:28.878Z]>,1
@coxasdefrango,1266013369934413825,Directed,Retweets,15,,<[2020-06-02T18:00:28.878Z]>,1
@fordy1efc,1267878746289209346,Directed,Tweets,16,,<[2020-06-02T18:00:29.295Z]>,1
@kennewick_lions,1267878746322685957,Directed,Tweets,17,,<[2020-06-02T18:00:29.297Z]>,1
1267878746322685957,http://pbs.twimg.com/media/EZhorzTVcAA-kis.jpg,Directed,Has_media,18,,<[2020-06-02T18:00:29.297Z]>,1
1267878746322685957,http://pbs.twimg.com/media/EZhovS9UMAApwqi.png,Directed,Has_media,19,,<[2020-06-02T18:00:29.297Z]>,1
@oddtools,1267878747178446850,Directed,Tweets,20,,<[2020-06-02T18:00:29.298Z]>,1
@sportexpress,1267878749208563712,Directed,Tweets,21,,<[2020-06-02T18:00:29.799Z]>,1
1267878749208563712,https://www.sport-express.ru/football/rfpl/news/chempionat-rossii-po-futbolu-kalendar-rpl-i-raspisanie-kubka-iyun-i-iyul-2020-1678580/,Directed,Has_link,22,,<[2020-06-02T18:00:29.799Z]>,1
1267878749208563712,http://pbs.twimg.com/media/EZhpAHnWoAALFj_.jpg,Directed,Has_media,23,,<[2020-06-02T18:00:29.799Z]>,1
@06suraj91,1267878751020482560,Directed,Tweets,24,,<[2020-06-02T18:00:30.198Z]>,1
1267878751020482560,https://www.football-addict.com/en/article/premier-league/mlb-mock-draft-2020-latest-predictions-for-zac-veen-top-high-school-prospects/5ed66cd3dad65e20d01286df?utm_campaign=post-auto&utm_medium=twitter&utm_source=utm-mashup-06suraj91,Directed,Has_link,25,,<[2020-06-02T18:00:30.198Z]>,1
@oddtools,1267878751226003456,Directed,Tweets,26,,<[2020-06-02T18:00:30.992Z]>,1
@benskioner,1267878753058852867,Directed,Tweets,27,,<[2020-06-02T18:00:30.994Z]>,1
1267878753058852867,@sheffieldunited,Directed,Has_mention,28,,<[2020-06-02T18:00:30.994Z]>,1
@dvxnathan,1267878753348325378,Directed,Tweets,29,,<[2020-06-02T18:00:30.998Z]>,1
@filoumaoulida,1267838052413648896,Directed,Tweets,30,,<[2020-06-02T18:00:30.998Z]>,1
1267838052413648896,@gregmargotton,Directed,Has_mention,31,,<[2020-06-02T18:00:30.998Z]>,1
1267838052413648896,@ligue1conforama,Directed,Has_mention,32,,<[2020-06-02T18:00:30.998Z]>,1
1267838052413648896,@tf1,Directed,Has_mention,33,,<[2020-06-02T18:00:30.998Z]>,1
1267838052413648896,@telefoot_tf1,Directed,Has_mention,34,,<[2020-06-02T18:00:30.998Z]>,1
1267838052413648896,@grupomediapro,Directed,Has_mention,35,,<[2020-06-02T18:00:30.998Z]>,1
1267838052413648896,@mediaprofrance,Directed,Has_mention,36,,<[2020-06-02T18:00:30.998Z]>,1
1267838052413648896,http://pbs.twimg.com/ext_tw_video_thumb/1267837856027947010/pu/img/Wz6XtVRwfUd1n1Tr.jpg,Directed,Has_media,37,,<[2020-06-02T18:00:30.998Z]>,1
@dvxnathan,@filoumaoulida,Directed,Quotes_from,38,,<[2020-06-02T18:00:30.998Z]>,1
@dvxnathan,1267838052413648896,Directed,Quotes,39,,<[2020-06-02T18:00:30.998Z]>,1
@nomthee_9808,1267878755546038273,Directed,Tweets,40,,<[2020-06-02T18:00:31.335Z]>,1
