Source,Target,Type,Kind
@a2z_social,1267878743311290368,Directed,Tweets
1267878743311290368,@usc,Directed,Has_mention
1267878743311290368,"#fighton",Directed,Has_hashtag
1267878743311290368,https://www.cbssports.com/college-football/news/usc-ends-relationship-with-booster-after-tweets-calling-for-gun-violence-against-protesters/,Directed,Has_link
@atlagainsthate,1267878744112365572,Directed,Tweets
@jacobsteinberg,1267491104049504261,Directed,Tweets
1267491104049504261,@sanjaykickitout,Directed,Has_mention
1267491104049504261,@kickitout,Directed,Has_mention
1267491104049504261,https://www.theguardian.com/football/2020/jun/01/kick-it-out-urges-all-players-to-take-knee-over-george-floyd-and-no-fa-sanctions,Directed,Has_link
@atlagainsthate,@jacobsteinberg,Directed,Retweets_from
@atlagainsthate,1267491104049504261,Directed,Retweets
@coxasdefrango,1267878744930365444,Directed,Tweets
@footballfunnnys,1266013369934413825,Directed,Tweets
1266013369934413825,http://pbs.twimg.com/ext_tw_video_thumb/1190082330976755713/pu/img/OhZ81ozIz_e61Uvk.jpg,Directed,Has_media
@coxasdefrango,@footballfunnnys,Directed,Retweets_from
@coxasdefrango,1266013369934413825,Directed,Retweets
@fordy1efc,1267878746289209346,Directed,Tweets
@kennewick_lions,1267878746322685957,Directed,Tweets
1267878746322685957,http://pbs.twimg.com/media/EZhorzTVcAA-kis.jpg,Directed,Has_media
1267878746322685957,http://pbs.twimg.com/media/EZhovS9UMAApwqi.png,Directed,Has_media
@oddtools,1267878747178446850,Directed,Tweets
@sportexpress,1267878749208563712,Directed,Tweets
1267878749208563712,https://www.sport-express.ru/football/rfpl/news/chempionat-rossii-po-futbolu-kalendar-rpl-i-raspisanie-kubka-iyun-i-iyul-2020-1678580/,Directed,Has_link
1267878749208563712,http://pbs.twimg.com/media/EZhpAHnWoAALFj_.jpg,Directed,Has_media
@06suraj91,1267878751020482560,Directed,Tweets
1267878751020482560,https://www.football-addict.com/en/article/premier-league/mlb-mock-draft-2020-latest-predictions-for-zac-veen-top-high-school-prospects/5ed66cd3dad65e20d01286df?utm_campaign=post-auto&utm_medium=twitter&utm_source=utm-mashup-06suraj91,Directed,Has_link
@oddtools,1267878751226003456,Directed,Tweets
@benskioner,1267878753058852867,Directed,Tweets
1267878753058852867,@sheffieldunited,Directed,Has_mention
@dvxnathan,1267878753348325378,Directed,Tweets
@filoumaoulida,1267838052413648896,Directed,Tweets
1267838052413648896,@gregmargotton,Directed,Has_mention
1267838052413648896,@ligue1conforama,Directed,Has_mention
1267838052413648896,@tf1,Directed,Has_mention
1267838052413648896,@telefoot_tf1,Directed,Has_mention
1267838052413648896,@grupomediapro,Directed,Has_mention
1267838052413648896,@mediaprofrance,Directed,Has_mention
1267838052413648896,http://pbs.twimg.com/ext_tw_video_thumb/1267837856027947010/pu/img/Wz6XtVRwfUd1n1Tr.jpg,Directed,Has_media
@dvxnathan,@filoumaoulida,Directed,Quotes_from
@dvxnathan,1267838052413648896,Directed,Quotes
@nomthee_9808,1267878755546038273,Directed,Tweets
@syrazh,1266923061800026112,Directed,Tweets
@breaking911,1266571046620102657,Directed,Tweets
1266571046620102657,"#breaking",Directed,Has_hashtag
1266571046620102657,http://pbs.twimg.com/ext_tw_video_thumb/1266561746506047488/pu/img/Vm2CqQdveOou03ow.jpg,Directed,Has_media
@syrazh,@breaking911,Directed,Quotes_from
@syrazh,1266571046620102657,Directed,Quotes
@nomthee_9808,@syrazh,Directed,Retweets_from
@nomthee_9808,1266923061800026112,Directed,Retweets
@nomthee_9808,@breaking911,Directed,Quotes_from
@nomthee_9808,1266571046620102657,Directed,Quotes
@garydewhurst,1267878756682797066,Directed,Tweets
1267878756682797066,@tomhoughton7,Directed,Has_mention
1267878756682797066,@andymorri5on,Directed,Has_mention
1267878756682797066,@the_nomads,Directed,Has_mention
1267878756682797066,@mancity,Directed,Has_mention
1267878756682797066,@brother_uk,Directed,Has_mention
@rabbiej1974,1267878757311950856,Directed,Tweets
@jockystan,1267723340032212993,Directed,Tweets
1267723340032212993,https://footballtaxhavens.wordpress.com/2020/06/02/proof-of-paedophile-ring-frank-cairney-lobbied-to-bring-torbett-back-as-fundraiser-in-1980-when-he-knew-in-1977-from-csa-club-meeting-torbett-was-paedophile/amp/?__twitter_impression=true,Directed,Has_link
@rabbiej1974,@jockystan,Directed,Retweets_from
@rabbiej1974,1267723340032212993,Directed,Retweets
@keir_wee,1267878757790072837,Directed,Tweets
@barryanderson_,1267846395748384768,Directed,Tweets
1267846395748384768,@edinburghpaper,Directed,Has_mention
1267846395748384768,"#killie",Directed,Has_hashtag
1267846395748384768,"#hmfc",Directed,Has_hashtag
1267846395748384768,https://www.edinburghnews.scotsman.com/sport/football/hearts/jamie-macdonald-id-go-back-hearts-second-its-huge-risk-leaving-kilmarnock-2872403,Directed,Has_link
@keir_wee,@barryanderson_,Directed,Retweets_from
@keir_wee,1267846395748384768,Directed,Retweets
@thekitstopfoot1,1267878757894930432,Directed,Tweets
1267878757894930432,"#classicfootballshirts",Directed,Has_hashtag
1267878757894930432,"#psv",Directed,Has_hashtag
1267878757894930432,"#dutch",Directed,Has_hashtag
1267878757894930432,http://pbs.twimg.com/media/EZhpAbZX0AQyxCV.jpg,Directed,Has_media
1267878757894930432,http://pbs.twimg.com/media/EZhpAbiWoAAo6rx.jpg,Directed,Has_media
@covcitylive,1267878759220248576,Directed,Tweets
1267878759220248576,"#skyblues",Directed,Has_hashtag
1267878759220248576,"#pusb",Directed,Has_hashtag
1267878759220248576,https://www.coventrytelegraph.net/sport/football/football-news/efl-league-one-vote-wycombe-18352696?a,Directed,Has_link
@massmunicipal,1267878759966834688,Directed,Tweets
1267878759966834688,@townofauburn,Directed,Has_mention
1267878759966834688,@telegramdotcom,Directed,Has_mention
1267878759966834688,https://www.telegram.com/news/20200601/auburn-to-hold-town-meeting-on-football-field,Directed,Has_link
@dompostsports,1267878760168202241,Directed,Tweets
1267878760168202241,"#trinity",Directed,Has_hashtag
1267878760168202241,"#wvprepfb",Directed,Has_hashtag
1267878760168202241,https://bit.ly/3djM9Pw,Directed,Has_link
@watchmakermaker,1267878760495398920,Directed,Tweets
1267878760495398920,@gleybermania201,Directed,Has_mention
1267878760495398920,@richeisenshow,Directed,Has_mention
1267878760495398920,@kaepernick7,Directed,Has_mention
1267878760495398920,@kaj33,Directed,Has_mention
@leemiller67,1267878761208385536,Directed,Tweets
@george1robinson,1267821451400245250,Directed,Tweets
@scotamfa,1267818900986589191,Directed,Tweets
1267818900986589191,"#volunteersweek",Directed,Has_hashtag
1267818900986589191,http://pbs.twimg.com/media/EZgwFPeU4Ace0J1.jpg,Directed,Has_media
@george1robinson,@scotamfa,Directed,Quotes_from
@george1robinson,1267818900986589191,Directed,Quotes
@leemiller67,@george1robinson,Directed,Retweets_from
@leemiller67,1267821451400245250,Directed,Retweets
@leemiller67,@scotamfa,Directed,Quotes_from
@leemiller67,1267818900986589191,Directed,Quotes
@gmas55612408,1267878762781257735,Directed,Tweets
1267878762781257735,https://www.rtl.fr/actu/international/football-marcus-thuram-pose-un-genou-a-terre-en-hommage-a-george-floyd-7800564778,Directed,Has_link
@shanethegooner,1267878762785497093,Directed,Tweets
1267878762785497093,http://pbs.twimg.com/media/EZhpAv7XYAUhAm6.jpg,Directed,Has_media
@ryanphelps27,1267878764647796736,Directed,Tweets
@isaiahhole,1267869749452713990,Directed,Tweets
1267869749452713990,"#michigan",Directed,Has_hashtag
1267869749452713990,https://wolverineswire.usatoday.com/2020/06/02/michigan-football-jim-harbaugh-team-marches-black-lives-matter-protest-ann-arbor-george-floyd/,Directed,Has_link
@ryanphelps27,@isaiahhole,Directed,Retweets_from
@ryanphelps27,1267869749452713990,Directed,Retweets
@kaii_baby3,1267878765989818368,Directed,Tweets
@bbygirlerica,1267878322987397120,Directed,Tweets
@kaii_baby3,@bbygirlerica,Directed,Retweets_from
@kaii_baby3,1267878322987397120,Directed,Retweets
@the_gaffer10,1267878766065393666,Directed,Tweets
@_passtheball,1267876038941585415,Directed,Tweets
1267876038941585415,@saintmus_,Directed,Has_mention
1267876038941585415,https://www.youtube.com/channel/UCDPzxWWbiqbCNiLa6eFQd4A,Directed,Has_link
1267876038941585415,http://pbs.twimg.com/ext_tw_video_thumb/1267875232477569024/pu/img/KboTNC-FQ2m8JhpY.jpg,Directed,Has_media
@the_gaffer10,@_passtheball,Directed,Retweets_from
@the_gaffer10,1267876038941585415,Directed,Retweets
@biansanfelice,1267878766627471362,Directed,Tweets
@tycsports,1267856243869261826,Directed,Tweets
1267856243869261826,http://pbs.twimg.com/media/EZhUek2XkAMzDZC.jpg,Directed,Has_media
@biansanfelice,@tycsports,Directed,Quotes_from
@biansanfelice,1267856243869261826,Directed,Quotes
@evan_vick,1267878766845595650,Directed,Tweets
@nathaneast22,1267836756159795200,Directed,Tweets
1267836756159795200,"#blacklivesmatter",Directed,Has_hashtag
1267836756159795200,http://pbs.twimg.com/media/EZhCzwkXsAEtLWF.jpg,Directed,Has_media
@evan_vick,@nathaneast22,Directed,Retweets_from
@evan_vick,1267836756159795200,Directed,Retweets
@of_1890,1267878767202091010,Directed,Tweets
1267878767202091010,@marlborofood,Directed,Has_mention
@ayhnisk,1267878768128995330,Directed,Tweets
1267878768128995330,http://pbs.twimg.com/media/EZQHhK1XgAA-I7y.jpg,Directed,Has_media
@90sfootball,1267516262239870977,Directed,Tweets
