Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,RepulsiveForce,kValue,TimeCopyBack
,,1,,0.000499712,,,,,
,,2,,0.00224918,,,,,
,,3,,0.0022585,,,,,
,,4,,0.00232067,,,,,
,,5,,0.0080535,,,,,
,,6,,0.0056568,,,,,
,,7,,0.00595923,,,,,
,,8,,0.00586579,,,,,
,,9,,0.00546646,,,,,
,,10,,0.00537533,,,,,
,,11,,0.00797853,,,,,
,,12,,0.0128912,,,,,
,,13,,0.00525098,,,,,
,,14,,0.00585395,,,,,
,,15,,0.00564934,,,,,
,,16,,0.00619766,,,,,
,,17,,0.00576794,,,,,
,,18,,0.00595254,,,,,
,,19,,0.0171167,,,,,
