Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,RepulsiveForce,kValue,TimeCopyBack
,,1,,0.00322378,,,,,
,,2,,0.00455718,,,,,
,,3,,0.00445194,,,,,
,,4,,0.00399248,,,,,
,,5,,0.00403018,,,,,
,,6,,0.00421139,,,,,
,,7,,0.00471226,,,,,
,,8,,0.00448483,,,,,
,,9,,0.00620995,,,,,
,,10,,0.00449962,,,,,
,,11,,0.00430422,,,,,
,,12,,0.00470915,,,,,
,,13,,0.00420534,,,,,
,,14,,0.00421501,,,,,
,,15,,0.0041737,,,,,
,,16,,0.00549168,,,,,
,,17,,0.00460013,,,,,
,,18,,0.00434541,,,,,
,,19,,0.0043728,,,,,
