Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,RepulsiveForce,kValue,TimeCopyBack
,,1,,0.0027919,,,,,
,,2,,0.0415281,,,,,
,,3,,0.0461189,,,,,
,,4,,0.0508008,,,,,
,,5,,0.0480235,,,,,
,,6,,0.053881,,,,,
,,7,,0.0821023,,,,,
,,8,,0.0850275,,,,,
,,9,,0.082215,,,,,
,,10,,0.0701468,,,,,
,,11,,0.0880552,,,,,
,,12,,0.0666196,,,,,
,,13,,0.0872795,,,,,
,,14,,0.0656394,,,,,
,,15,,0.084541,,,,,
,,16,,0.0660654,,,,,
,,17,,0.087802,,,,,
,,18,,0.0735459,,,,,
,,19,,0.0863681,,,,,
