Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,RepulsiveForce,kValue,TimeCopyBack
,,1,,0.00272362,,,,,
,,2,,0.0378183,,,,,
,,3,,0.0410285,,,,,
,,4,,0.0438326,,,,,
,,5,,0.0428365,,,,,
,,6,,0.034074,,,,,
,,7,,0.043053,,,,,
,,8,,0.054986,,,,,
,,9,,0.0530569,,,,,
,,10,,0.046192,,,,,
,,11,,0.0477206,,,,,
,,12,,0.0494253,,,,,
,,13,,0.0483112,,,,,
,,14,,0.0575772,,,,,
,,15,,0.0471329,,,,,
,,16,,0.0601451,,,,,
,,17,,0.0472875,,,,,
,,18,,0.0566982,,,,,
,,19,,0.0540055,,,,,
