Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,RepulsiveForce,kValue,TimeCopyBack
,,1,,0.0025353,,,,,
,,2,,0.0343894,,,,,
,,3,,0.0253335,,,,,
,,4,,0.0289356,,,,,
,,5,,0.0374647,,,,,
,,6,,0.0320425,,,,,
,,7,,0.0578698,,,,,
,,8,,0.0317411,,,,,
,,9,,0.068719,,,,,
,,10,,0.037077,,,,,
,,11,,0.067217,,,,,
,,12,,0.0455939,,,,,
,,13,,0.0677412,,,,,
,,14,,0.0325825,,,,,
,,15,,0.0651525,,,,,
,,16,,0.0412713,,,,,
,,17,,0.0687407,,,,,
,,18,,0.0404716,,,,,
,,19,,0.0669789,,,,,
