Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,RepulsiveForce,kValue,TimeCopyBack
,,1,,0.0434604,,,,,
,,2,,0.0387241,,,,,
,,3,,0.0400755,,,,,
,,4,,0.0400815,,,,,
,,5,,0.0393236,,,,,
,,6,,0.041255,,,,,
,,7,,0.0540457,,,,,
,,8,,0.0409236,,,,,
,,9,,0.0406341,,,,,
,,10,,0.039964,,,,,
,,11,,0.0407483,,,,,
,,12,,0.0405274,,,,,
,,13,,0.0397482,,,,,
,,14,,0.0426992,,,,,
,,15,,0.0405917,,,,,
,,16,,0.0408009,,,,,
,,17,,0.03963,,,,,
,,18,,0.040372,,,,,
,,19,,0.0411842,,,,,
