Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,RepulsiveForce,kValue,TimeCopyBack
,,1,,0.00521962,,,,,
,,2,,0.00329088,,,,,
,,3,,0.00698838,,,,,
,,4,,0.00849818,,,,,
,,5,,0.0112961,,,,,
,,6,,0.0135012,,,,,
,,7,,0.0115201,,,,,
,,8,,0.0194358,,,,,
,,9,,0.0195161,,,,,
,,10,,0.0222666,,,,,
,,11,,0.0223324,,,,,
,,12,,0.0208266,,,,,
,,13,,0.0208023,,,,,
,,14,,0.021311,,,,,
,,15,,0.0162364,,,,,
,,16,,0.0208864,,,,,
,,17,,0.0212808,,,,,
,,18,,0.0220593,,,,,
,,19,,0.0230255,,,,,
