AvgTimeRepulsiveForce,Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,Memory,TimeTraverseAccel,TimeRepulsiveForce,kValue,TimeBuildAccel,TimeCopyBack
0.00866397,26.1,68200,1,101102,0.00866397,0.00117965,0.00120221,4.16,0.00742058,0.00866397,0.999421,0.0053951,0.000100672
0.0358623,26.0739,68200,2,101102,0.0630606,0.00136192,0.0013271,4.16,0.0617889,0.0630606,0.999421,0.0115196,9.9648e-05
0.0419006,26.0479,68200,3,101102,0.0539773,0.00123472,0.00124928,4.16,0.052741,0.0539773,0.999421,0.00942157,0.000100384
0.0488438,26.0219,68200,4,101102,0.0696732,0.00132954,0.00124109,4.16,0.0683646,0.0696732,0.999421,0.0117579,9.8592e-05
0.0537388,25.9959,68200,5,101102,0.073319,0.00140669,0.00143098,4.16,0.0720737,0.073319,0.999421,0.0120018,0.000102112
0.0569666,25.9699,68200,6,101102,0.0731055,0.00123488,0.00126618,4.16,0.0719055,0.0731055,0.999421,0.00924806,0.000106144
0.0592241,25.9439,68200,7,101102,0.0727692,0.00118605,0.00119194,4.16,0.0716031,0.0727692,0.999421,0.00792982,0.000104256
0.0614011,25.918,68200,8,101102,0.0766403,0.0012528,0.00120816,4.16,0.0754332,0.0766403,0.999421,0.0115364,0.000102048
0.0633333,25.8921,68200,9,101102,0.0787911,0.00117453,0.00124928,4.16,0.0774603,0.0787911,0.999421,0.0113453,9.9232e-05
0.0649864,25.8663,68200,10,101102,0.079864,0.00135578,0.0014737,4.16,0.0785086,0.079864,0.999421,0.0123916,0.000100128
0.06638,25.8404,68200,11,101102,0.0803153,0.00117965,0.0012841,4.16,0.0790906,0.0803153,0.999421,0.0122461,0.000104224
0.0680252,25.8146,68200,12,101102,0.0861227,0.00124035,0.00123226,4.16,0.0848739,0.0861227,0.999421,0.0113767,9.6832e-05
0.0689018,25.7888,68200,13,101102,0.0794207,0.00116662,0.00117315,4.16,0.0782125,0.0794207,0.999421,0.0120946,9.9872e-05
0.0701538,25.763,68200,14,101102,0.0864297,0.00117958,0.00119392,4.16,0.0851951,0.0864297,0.999421,0.0113317,9.9744e-05
0.0708617,25.7373,68200,15,101102,0.0807729,0.00123226,0.00124698,4.16,0.0794702,0.0807729,0.999421,0.0118921,9.5008e-05
0.0718418,25.7116,68200,16,101102,0.0865425,0.00123798,0.00135171,4.16,0.0852824,0.0865425,0.999421,0.0119823,9.68e-05
0.0722329,25.6859,68200,17,101102,0.0784912,0.00133702,0.0012599,4.16,0.0772459,0.0784912,0.999421,0.011241,9.4528e-05
0.0730844,25.6602,68200,18,101102,0.0875606,0.00117715,0.00133206,4.16,0.0862376,0.0875606,0.999421,0.01201,0.000104832
