AvgTimeRepulsiveForce,Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,Memory,TimeTraverseAccel,TimeRepulsiveForce,kValue,TimeBuildAccel,TimeCopyBack
0.0137678,26.1,68200,1,101102,0.0137678,0.00119622,0.00124592,3.22,0.0122981,0.0137678,0.999421,0.00829546,0.000111104
0.0128051,26.0739,68200,2,101102,0.0118424,0.00124448,0.00128672,3.22,0.0105292,0.0118424,0.999421,0.00884486,0.000106624
0.0123768,26.0479,68200,3,101102,0.0115201,0.00136144,0.00138054,3.22,0.010318,0.0115201,0.999421,0.00829411,0.000104576
0.0121385,26.0219,68200,4,101102,0.0114237,0.00115699,0.00119011,3.22,0.010195,0.0114237,0.999421,0.00785616,9.6576e-05
0.0123054,25.9959,68200,5,101102,0.0129732,0.00115917,0.00117936,3.22,0.0118164,0.0129732,0.999421,0.0087976,9.7728e-05
0.0129378,25.9699,68200,6,101102,0.0160996,0.0014071,0.00118186,3.22,0.0147603,0.0160996,0.999421,0.0091481,9.9552e-05
0.0132427,25.9439,68200,7,101102,0.0150723,1.024e-05,0.000572896,3.22,0.0139243,0.0150723,0.999421,0.0081672,0.000100192
0.0137725,25.918,68200,8,101102,0.017481,0.00115507,0.00129024,3.22,0.0162558,0.017481,0.999421,0.00969805,0.000102336
0.0142266,25.8921,68200,9,101102,0.0178593,0.00120422,0.00133034,3.22,0.0165542,0.0178593,0.999421,0.00817786,0.000102368
0.0146069,25.8663,68200,10,101102,0.0180299,0.00115302,0.00138854,3.22,0.016824,0.0180299,0.999421,0.00819325,0.000102848
0.014871,25.8404,68200,11,101102,0.0175116,0.00137437,0.00134509,3.22,0.0163146,0.0175116,0.999421,0.00784182,0.000101408
0.0151701,25.8146,68200,12,101102,0.0184609,0.00117629,0.00118,3.22,0.0171364,0.0184609,0.999421,0.00837482,0.000102912
0.0153819,25.7888,68200,13,101102,0.0179234,0.00118426,0.00119165,3.22,0.016756,0.0179234,0.999421,0.00807226,0.000101696
0.0156048,25.763,68200,14,101102,0.0185025,0.00122826,0.00140106,3.22,0.0173247,0.0185025,0.999421,0.00822752,9.9808e-05
0.0157773,25.7373,68200,15,101102,0.0181912,0.00147578,0.00148662,3.22,0.0169378,0.0181912,0.999421,0.00837622,0.000101248
0.0159965,25.7116,68200,16,101102,0.0192844,0.00128112,0.00118938,3.22,0.018102,0.0192844,0.999421,0.00855696,0.000101952
0.0161465,25.6859,68200,17,101102,0.0185465,0.00117235,0.00116922,3.22,0.0173075,0.0185465,0.999421,0.00848032,0.000103072
0.0162653,25.6602,68200,18,101102,0.0182853,0.00119453,0.00117994,3.22,0.0169686,0.0182853,0.999421,0.0081047,9.9776e-05
0.0163887,25.6346,68200,19,101102,0.0186094,0.00133491,0.00127469,3.22,0.0174325,0.0186094,0.999421,0.00853405,9.8528e-05
0.0165636,25.609,68200,20,101102,0.0198866,0.00117165,0.0011776,3.22,0.0186655,0.0198866,0.999421,0.00948518,9.7344e-05
0.0166277,25.5834,68200,21,101102,0.0179097,0.00115574,0.00121408,3.22,0.0167039,0.0179097,0.999421,0.00789856,0.000102848
0.0167007,25.5579,68200,22,101102,0.0182346,0.00117597,0.00117126,3.22,0.0170119,0.0182346,0.999421,0.00811686,0.000102144
0.016769,25.5323,68200,23,101102,0.0182709,0.00116346,0.00128234,3.22,0.0170955,0.0182709,0.999421,0.00810266,9.7856e-05
0.0168731,25.5068,68200,24,101102,0.0192689,0.0012288,0.00124989,3.22,0.0179033,0.0192689,0.999421,0.00855987,0.000104224
0.0169527,25.4813,68200,25,101102,0.0188629,0.00115712,0.00116544,3.22,0.0176606,0.0188629,0.999421,0.00859939,0.000102656
0.0169929,25.4559,68200,26,101102,0.0179979,0.00116013,0.00128346,3.22,0.0167793,0.0179979,0.999421,0.00780883,0.000102656
0.0170423,25.4304,68200,27,101102,0.0183268,0.00117446,0.00119398,3.22,0.0169219,0.0183268,0.999421,0.00808867,0.000101568
0.0171398,25.405,68200,28,101102,0.0197721,0.00117952,0.00119062,3.22,0.0185328,0.0197721,0.999421,0.00903002,9.7216e-05
0.0171962,25.3797,68200,29,101102,0.0187741,0.0013344,0.00132973,3.22,0.0174254,0.0187741,0.999421,0.00851664,9.7312e-05
0.0172809,25.3543,68200,30,101102,0.0197367,0.00120035,0.0012569,3.22,0.0184301,0.0197367,0.999421,0.00917923,9.696e-05
0.0173413,25.329,68200,31,101102,0.019155,0.00121446,0.00121168,3.22,0.0179716,0.019155,0.999421,0.00890397,0.000102272
0.0174036,25.3037,68200,32,101102,0.0193345,0.0011873,0.00120637,3.22,0.0181855,0.0193345,0.999421,0.00894339,0.00010128
0.0174615,25.2784,68200,33,101102,0.0193135,0.00128426,0.00117517,3.22,0.0180456,0.0193135,0.999421,0.00890115,0.000104928
0.0175046,25.2531,68200,34,101102,0.0189292,0.0012503,0.00133706,3.22,0.0174668,0.0189292,0.999421,0.0081071,0.000101472
0.0175844,25.2279,68200,35,101102,0.0202957,0.00124694,0.0012473,3.22,0.0189138,0.0202957,0.999421,0.00966096,9.7408e-05
0.0176367,25.2027,68200,36,101102,0.0194662,0.00125133,0.00133283,3.22,0.0180141,0.0194662,0.999421,0.00867299,0.000103168
0.0177124,25.1775,68200,37,101102,0.0204376,0.00131072,0.00134746,3.22,0.0190816,0.0204376,0.999421,0.0097359,0.000102784
0.0177754,25.1524,68200,38,101102,0.0201093,0.00136211,0.00133763,3.22,0.0186516,0.0201093,0.999421,0.00904474,0.000102624
0.017813,25.1272,68200,39,101102,0.0192388,0.0013783,0.00123613,3.22,0.0177672,0.0192388,0.999421,0.00847939,0.00010416
0.0178653,25.1021,68200,40,101102,0.019906,0.00131965,0.00130979,3.22,0.0185918,0.019906,0.999421,0.0092239,0.000102656
0.0179132,25.0771,68200,41,101102,0.0198315,0.00131072,0.0011656,3.22,0.0185193,0.0198315,0.999421,0.00934835,9.7728e-05
0.017981,25.052,68200,42,101102,0.0207597,0.0013312,0.00131443,3.22,0.0194148,0.0207597,0.999421,0.0100636,0.000102272
0.0180269,25.027,68200,43,101102,0.0199534,0.00129574,0.00131437,3.22,0.0186979,0.0199534,0.999421,0.00944288,0.00010432
0.0180815,25.002,68200,44,101102,0.0204319,0.00125133,0.00133501,3.22,0.0189755,0.0204319,0.999421,0.00939104,9.9584e-05
0.0181282,24.977,68200,45,101102,0.0201812,0.00130048,0.00132096,3.22,0.0188276,0.0201812,0.999421,0.0097135,0.000100192
0.0181823,24.952,68200,46,101102,0.0206146,0.00138483,0.00116717,3.22,0.0192589,0.0206146,0.999421,0.00980102,0.00010096
0.0182276,24.9271,68200,47,101102,0.020312,0.00116086,0.0100229,3.22,0.0190201,0.020312,0.999421,0.00971725,0.000104544
