AvgTimeRepulsiveForce,Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,Memory,TimeTraverseAccel,TimeRepulsiveForce,kValue,TimeBuildAccel,TimeCopyBack
0.00786278,15.8,25000,1,69984,0.00786278,0.00122848,0.00121203,1.53,0.00668723,0.00786278,0.99928,0.00514957,4.08e-05
0.0170906,15.7842,25000,2,69984,0.0263184,0.00144986,0.00123802,1.53,0.0250686,0.0263184,0.99928,0.00660934,4.2656e-05
0.0209069,15.7684,25000,3,69984,0.0285396,0.0013312,0.00125475,1.53,0.0273323,0.0285396,0.99928,0.0107065,4.6176e-05
0.0225089,15.7527,25000,4,69984,0.0273147,0.00115264,0.00133181,1.53,0.0259955,0.0273147,0.99928,0.00706221,4.6912e-05
0.0251672,15.737,25000,5,69984,0.0358005,0.00120115,0.00142144,1.53,0.034486,0.0358005,0.99928,0.0118104,3.8432e-05
0.0262195,15.7212,25000,6,69984,0.0314808,0.00125136,0.00124019,1.53,0.0302724,0.0314808,0.99928,0.01185,4.6048e-05
0.0272291,15.7055,25000,7,69984,0.0332866,0.00123866,0.00124518,1.53,0.0319716,0.0332866,0.99928,0.0121849,4.0224e-05
0.028575,15.6898,25000,8,69984,0.0379964,0.00121891,0.0012535,1.53,0.0367614,0.0379964,0.99928,0.0113388,4.3808e-05
0.0286834,15.6742,25000,9,69984,0.0295512,0.00122675,0.00133734,1.53,0.0283595,0.0295512,0.99928,0.0118842,4.6848e-05
0.0288333,15.6585,25000,10,69984,0.0301815,0.0011512,0.00116941,1.53,0.0287623,0.0301815,0.99928,0.0059352,3.9552e-05
0.0288194,15.6429,25000,11,69984,0.0286812,0.00135178,0.00131277,1.53,0.0275323,0.0286812,0.99928,0.0113326,4.304e-05
0.0287844,15.6272,25000,12,69984,0.0283985,0.00123376,0.00138003,1.53,0.027192,0.0283985,0.99928,0.0111954,4.5024e-05
0.029052,15.6116,25000,13,69984,0.0322637,0.00128,0.00134758,1.53,0.0311109,0.0322637,0.99928,0.011932,4.5856e-05
0.0292812,15.596,25000,14,69984,0.0322607,0.00124275,0.00123546,1.53,0.0308701,0.0322607,0.99928,0.0117589,4.2816e-05
0.0294352,15.5804,25000,15,69984,0.0315915,0.0011519,0.00134077,1.53,0.0303577,0.0315915,0.99928,0.0116198,3.8496e-05
0.0295573,15.5649,25000,16,69984,0.0313889,0.00123699,0.00123091,1.53,0.030157,0.0313889,0.99928,0.0118674,4.5632e-05
