AvgTimeRepulsiveForce,Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,Memory,TimeTraverseAccel,TimeRepulsiveForce,kValue,TimeBuildAccel,TimeCopyBack
0.0129869,15.8,25000,1,69984,0.0129869,0.00143715,0.00144192,1.18,0.011649,0.0129869,0.99928,0.00753357,4.8768e-05
0.0120515,15.7842,25000,2,69984,0.0111161,0.00137238,0.00138131,1.18,0.00991798,0.0111161,0.99928,0.00831856,4.6304e-05
0.00995642,15.7684,25000,3,69984,0.00576621,0.00116026,0.00123488,1.18,0.00442208,0.00576621,0.99928,0.00390848,4.4672e-05
0.0105402,15.7527,25000,4,69984,0.0122917,0.00125136,0.00127027,1.18,0.0108471,0.0122917,0.99928,0.00847763,4.3072e-05
0.0109105,15.737,25000,5,69984,0.0123915,0.00123741,0.00124022,1.18,0.0111042,0.0123915,0.99928,0.00820454,3.984e-05
0.0115404,15.7212,25000,6,69984,0.01469,0.00132646,0.00129203,1.18,0.0134935,0.01469,0.99928,0.00797341,4.336e-05
0.0121197,15.7055,25000,7,69984,0.0155957,0.00123085,0.00116112,1.18,0.0143289,0.0155957,0.99928,0.00815238,3.9392e-05
0.0125543,15.6898,25000,8,69984,0.0155962,0.00132915,0.0013271,1.18,0.0144474,0.0155962,0.99928,0.0079063,4.1728e-05
0.0129268,15.6742,25000,9,69984,0.0159071,0.00124314,0.00136445,1.18,0.0145639,0.0159071,0.99928,0.00807789,4.4224e-05
0.0133374,15.6585,25000,10,69984,0.0170326,0.00127344,0.00116698,1.18,0.0158683,0.0170326,0.99928,0.00783216,4.272e-05
0.0135514,15.6429,25000,11,69984,0.0156914,0.00115098,0.00116528,1.18,0.0144114,0.0156914,0.99928,0.0079008,4.5408e-05
0.0138919,15.6272,25000,12,69984,0.0176368,0.00129459,0.00126621,1.18,0.0164878,0.0176368,0.99928,0.00807837,4.4544e-05
0.0141466,15.6116,25000,13,69984,0.0172029,0.00130586,0.00116154,1.18,0.0160541,0.0172029,0.99928,0.00793002,4.5664e-05
0.0143617,15.596,25000,14,69984,0.0171586,0.00115507,0.00116195,1.18,0.0160092,0.0171586,0.99928,0.00787082,4.1856e-05
0.0144694,15.5804,25000,15,69984,0.0159776,0.00121504,0.00130122,1.18,0.0146751,0.0159776,0.99928,0.00783491,4.3424e-05
0.0146533,15.5649,25000,16,69984,0.017412,0.00123085,0.00122883,1.18,0.016261,0.017412,0.99928,0.00789798,4.3136e-05
0.0147405,15.5493,25000,17,69984,0.0161351,0.0012352,0.00124806,1.18,0.0148648,0.0161351,0.99928,0.0082199,3.8464e-05
0.0148839,15.5338,25000,18,69984,0.017322,0.00115501,0.0011633,1.18,0.01612,0.017322,0.99928,0.00796288,3.8176e-05
0.0149853,15.5183,25000,19,69984,0.0168104,0.00128266,0.00132144,1.18,0.0156554,0.0168104,0.99928,0.00763738,4.0704e-05
0.0150317,15.5028,25000,20,69984,0.0159134,0.00134256,0.00129882,1.18,0.0146212,0.0159134,0.99928,0.00792982,4.2976e-05
0.0150628,15.4873,25000,21,69984,0.0156839,0.0012831,0.0013152,1.18,0.014357,0.0156839,0.99928,0.00778755,3.8592e-05
0.0150828,15.4718,25000,22,69984,0.0155031,0.00128429,0.00126019,1.18,0.014281,0.0155031,0.99928,0.00762512,3.8016e-05
0.015098,15.4564,25000,23,69984,0.0154316,0.00128112,0.00128813,1.18,0.0142345,0.0154316,0.99928,0.00770566,4.528e-05
0.0151231,15.4409,25000,24,69984,0.0157004,0.001152,0.00115923,1.18,0.0145019,0.0157004,0.99928,0.00774998,4.1152e-05
0.0151361,15.4255,25000,25,69984,0.01545,0.0011527,0.0011599,1.18,0.0142878,0.01545,0.99928,0.00784467,4.288e-05
0.0151916,15.4101,25000,26,69984,0.0165777,0.00115712,0.0011672,1.18,0.0151687,0.0165777,0.99928,0.00855418,4.56e-05
0.0152113,15.3947,25000,27,69984,0.0157232,0.00115194,0.00115917,1.18,0.014431,0.0157232,0.99928,0.00799078,4.2848e-05
0.0152306,15.3793,25000,28,69984,0.0157522,0.0012336,0.00115933,1.18,0.0144477,0.0157522,0.99928,0.00792672,4.3232e-05
0.0152526,15.3639,25000,29,69984,0.0158684,0.00121949,0.00123085,1.18,0.0144164,0.0158684,0.99928,0.00794016,4.3936e-05
0.0152891,15.3486,25000,30,69984,0.0163489,0.00146253,0.00147539,1.18,0.0150175,0.0163489,0.99928,0.00862131,4.4288e-05
0.0153378,15.3332,25000,31,69984,0.0167973,0.00115299,0.00117898,1.18,0.01555,0.0167973,0.99928,0.00902074,4.5408e-05
0.0153464,15.3179,25000,32,69984,0.0156143,0.00127837,0.00116112,1.18,0.0143518,0.0156143,0.99928,0.00785386,4.672e-05
0.0153433,15.3026,25000,33,69984,0.0152433,0.00115491,0.00116816,1.18,0.0140712,0.0152433,0.99928,0.00780717,4.2784e-05
0.0153474,15.2873,25000,34,69984,0.0154841,0.0012815,0.0011593,1.18,0.0143089,0.0154841,0.99928,0.00794496,4.4064e-05
0.015353,15.2721,25000,35,69984,0.0155429,0.00128205,0.00131878,1.18,0.0143367,0.0155429,0.99928,0.00815427,4.496e-05
0.015356,15.2568,25000,36,69984,0.015461,0.00132579,0.00116122,1.18,0.014287,0.015461,0.99928,0.00794598,3.8752e-05
0.0153658,15.2416,25000,37,69984,0.0157176,0.00125101,0.00132416,1.18,0.0144706,0.0157176,0.99928,0.00809939,3.9104e-05
0.0153713,15.2263,25000,38,69984,0.0155761,0.00116122,0.00116326,1.18,0.0143412,0.0155761,0.99928,0.00792035,4.2272e-05
0.0153806,15.2111,25000,39,69984,0.0157333,0.00130272,0.00136621,1.18,0.0143694,0.0157333,0.99928,0.008236,4.464e-05
0.015402,15.1959,25000,40,69984,0.0162377,0.00120406,0.00116736,1.18,0.0149241,0.0162377,0.99928,0.00844413,4.0576e-05
0.0154023,15.1807,25000,41,69984,0.0154124,0.00122477,0.0013353,1.18,0.0142366,0.0154124,0.99928,0.00797056,4.1408e-05
0.0154039,15.1656,25000,42,69984,0.0154684,0.00117213,0.00115859,1.18,0.0142814,0.0154684,0.99928,0.00813965,4.3776e-05
0.0154082,15.1504,25000,43,69984,0.0155915,0.00123085,0.00123965,1.18,0.0142127,0.0155915,0.99928,0.00815107,3.8656e-05
0.015412,15.1353,25000,44,69984,0.0155736,0.00137216,0.00116256,1.18,0.0143389,0.0155736,0.99928,0.00785283,3.84e-05
0.0154085,15.1202,25000,45,69984,0.015255,0.00120774,0.00121037,1.18,0.0138275,0.015255,0.99928,0.00780285,4.5408e-05
0.0154017,15.1051,25000,46,69984,0.0150965,0.00115917,0.0013824,1.18,0.0138553,0.0150965,0.99928,0.00778326,4.4064e-05
0.0154009,15.09,25000,47,69984,0.0153642,0.0011569,0.00115946,1.18,0.0140313,0.0153642,0.99928,0.00782986,4.0608e-05
0.0154005,15.0749,25000,48,69984,0.0153805,0.00115302,0.00132301,1.18,0.0141468,0.0153805,0.99928,0.00803731,4.2176e-05
0.0153972,15.0598,25000,49,69984,0.0152416,0.00129485,0.00130032,1.18,0.0140927,0.0152416,0.99928,0.00814106,4.6848e-05
0.0154034,15.0448,25000,50,69984,0.0157068,0.00115155,0.0012792,1.18,0.0145128,0.0157068,0.99928,0.00808387,4.368e-05
0.0153945,15.0298,25000,51,69984,0.014949,0.00130048,0.00132208,1.18,0.0137387,0.014949,0.99928,0.00783238,4.0416e-05
0.0153895,15.0147,25000,52,69984,0.0151356,0.0011513,0.00128778,1.18,0.0139819,0.0151356,0.99928,0.00770768,4.736e-05
0.0153808,14.9997,25000,53,69984,0.0149247,0.00115302,0.00130208,1.18,0.0137246,0.0149247,0.99928,0.00775894,4.3328e-05
