AvgTimeRepulsiveForce,Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,Memory,TimeTraverseAccel,TimeRepulsiveForce,kValue,TimeBuildAccel,TimeCopyBack
0.0124261,49.9,250000,1,500000,0.0124261,2.4576e-05,0.00119027,15.26,0.0111643,0.0124261,0.998,0.00464189,0.000281888
0.115906,49.8501,250000,2,500000,0.219387,0.00129446,0.00143661,15.26,0.218235,0.219387,0.998,0.00530582,0.000283936
0.146276,49.8003,250000,3,500000,0.207015,0.00126579,0.00119427,15.26,0.205819,0.207015,0.998,0.0077537,0.00027504
0.144132,49.7506,250000,4,500000,0.137701,0.00134221,0.00136845,15.26,0.136458,0.137701,0.998,0.00942854,0.000276256
0.158202,49.7009,250000,5,500000,0.214484,0.00124976,0.0012632,15.26,0.213193,0.214484,0.998,0.00947075,0.000269984
0.165376,49.6512,250000,6,500000,0.201244,0.00117165,0.00129398,15.26,0.200076,0.201244,0.998,0.0078225,0.000275456
0.172807,49.6016,250000,7,500000,0.217391,0.00116736,0.00119536,15.26,0.215941,0.217391,0.998,0.00797469,0.00028672
0.176117,49.5521,250000,8,500000,0.199285,0.00135245,0.00128883,15.26,0.19813,0.199285,0.998,0.00782048,0.00027392
0.180262,49.5026,250000,9,500000,0.213422,0.00127386,0.00132506,15.26,0.212173,0.213422,0.998,0.00857683,0.000276352
0.182347,49.4531,250000,10,500000,0.201112,0.00118304,0.00129962,15.26,0.199695,0.201112,0.998,0.00770045,0.00026688
0.185448,49.4037,250000,11,500000,0.216466,0.00130822,0.00138278,15.26,0.215314,0.216466,0.998,0.00775248,0.00027152
0.185387,49.3544,250000,12,500000,0.184716,0.00127971,0.00129421,15.26,0.183374,0.184716,0.998,0.00932054,0.000285184
0.187197,49.3051,250000,13,500000,0.208913,0.0013865,0.0014991,15.26,0.207739,0.208913,0.998,0.00763354,0.00027408
0.186899,49.2558,250000,14,500000,0.183023,0.00135674,0.00119104,15.26,0.181767,0.183023,0.998,0.00798477,0.000277664
0.188431,49.2066,250000,15,500000,0.209884,0.00135782,0.00137824,15.26,0.208731,0.209884,0.998,0.0076881,0.000272576
0.187893,49.1574,250000,16,500000,0.179825,0.00130048,0.00132739,15.26,0.178506,0.179825,0.998,0.00938221,0.000270368
0.186967,49.1083,250000,17,500000,0.172151,0.00143027,0.00120784,15.26,0.170758,0.172151,0.998,0.00767494,0.000281088
0.186625,49.0593,250000,18,500000,0.180813,0.00128102,0.00118963,15.26,0.179666,0.180813,0.998,0.00922589,0.000275392
0.1876,49.0102,250000,19,500000,0.205147,0.00126784,0.00140429,15.26,0.203961,0.205147,0.998,0.0076247,0.00028128
0.188033,48.9613,250000,20,500000,0.196261,0.00125338,0.00124445,15.26,0.194999,0.196261,0.998,0.00797344,0.000275392
0.18911,48.9124,250000,21,500000,0.21064,0.00118835,0.00146227,15.26,0.20949,0.21064,0.998,0.00782029,0.00027024
0.189445,48.8635,250000,22,500000,0.196473,0.0011639,0.00142544,15.26,0.195318,0.196473,0.998,0.00781907,0.000288032
0.190664,48.8147,250000,23,500000,0.217492,0.0014704,0.00140499,15.26,0.216246,0.217492,0.998,0.00924672,0.000276096
0.191096,48.7659,250000,24,500000,0.201021,0.00117341,0.0014775,15.26,0.199864,0.201021,0.998,0.00952694,0.000276384
0.191661,48.7172,250000,25,500000,0.205222,0.00117146,0.00132538,15.26,0.204074,0.205222,0.998,0.0075719,0.000271296
0.192053,48.6685,250000,26,500000,0.201854,0.00134349,0.00142758,15.26,0.200677,0.201854,0.998,0.00781485,0.000273024
0.19252,48.6199,250000,27,500000,0.204683,0.00124771,0.00138035,15.26,0.203535,0.204683,0.998,0.0079023,0.000284544
0.192687,48.5713,250000,28,500000,0.197193,0.00117555,0.0011887,15.26,0.19577,0.197193,0.998,0.00786054,0.00031264
0.193404,48.5228,250000,29,500000,0.213459,0.0013176,0.00135987,15.26,0.212298,0.213459,0.998,0.00925274,0.000278528
0.193574,48.4743,250000,30,500000,0.198527,0.00121094,0.00118819,15.26,0.19733,0.198527,0.998,0.00931392,0.00027232
0.194177,48.4259,250000,31,500000,0.212253,0.00132019,0.00119398,15.26,0.211004,0.212253,0.998,0.00752314,0.000281728
0.194333,48.3775,250000,32,500000,0.199158,0.00127811,0.00129546,15.26,0.197986,0.199158,0.998,0.00801914,0.000275936
0.194732,48.3292,250000,33,500000,0.207508,0.00130253,0.00133184,15.26,0.206198,0.207508,0.998,0.00765642,0.000271456
0.194809,48.2809,250000,34,500000,0.197365,0.00130358,0.00134154,15.26,0.195942,0.197365,0.998,0.00820112,0.000267456
0.195373,48.2327,250000,35,500000,0.214552,0.00123904,0.00133558,15.26,0.2134,0.214552,0.998,0.00809008,0.000274752
0.195514,48.1845,250000,36,500000,0.20042,0.00126384,0.00132877,15.26,0.199077,0.20042,0.998,0.00771533,0.00028784
