AvgTimeRepulsiveForce,Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,Memory,TimeTraverseAccel,TimeRepulsiveForce,kValue,TimeBuildAccel,TimeCopyBack
0.00839222,49.9,250000,1,500000,0.00839222,2.0416e-05,5.6864e-05,11.81,0.00838362,0.00839222,0.998,0.00379629,0.000288384
0.0121487,49.8501,250000,2,500000,0.0159052,0.0012921,0.00129651,11.81,0.0147439,0.0159052,0.998,0.00961421,0.000270752
0.0140439,49.8003,250000,3,500000,0.0178341,0.00124794,0.0013023,11.81,0.0165756,0.0178341,0.998,0.00800061,0.0002744
0.0158446,49.7506,250000,4,500000,0.021247,0.00116502,0.0014088,11.81,0.0199257,0.021247,0.998,0.00802682,0.000277824
0.0176243,49.7009,250000,5,500000,0.024743,0.00116736,0.00120384,11.81,0.0235782,0.024743,0.998,0.00803526,0.000275392
0.0189761,49.6512,250000,6,500000,0.0257353,0.00143658,0.00119974,11.81,0.0245819,0.0257353,0.998,0.0080713,0.00027648
0.0198617,49.6016,250000,7,500000,0.0251752,0.00153555,0.00139878,11.81,0.0239766,0.0251752,0.998,0.00782234,0.000278368
0.0208116,49.5521,250000,8,500000,0.0274611,0.00118835,0.00129434,11.81,0.0261868,0.0274611,0.998,0.00972541,0.000271648
0.0213807,49.5026,250000,9,500000,0.0259332,0.00139264,0.00141686,11.81,0.0245846,0.0259332,0.998,0.00825994,0.00027744
0.0217566,49.4531,250000,10,500000,0.0251396,0.00130102,0.00146746,11.81,0.0239687,0.0251396,0.998,0.00800064,0.000275808
0.0221311,49.4037,250000,11,500000,0.0258765,0.00121446,0.00138262,11.81,0.0246576,0.0258765,0.998,0.00841648,0.00027712
0.0224149,49.3544,250000,12,500000,0.0255358,0.00125914,0.00130662,11.81,0.0242169,0.0255358,0.998,0.00797974,0.000278048
0.0226562,49.3051,250000,13,500000,0.0255524,0.00130205,0.00119354,11.81,0.0243495,0.0255524,0.998,0.0083432,0.000271904
0.0228365,49.2558,250000,14,500000,0.0251804,0.00140224,0.00130067,11.81,0.024025,0.0251804,0.998,0.0079495,0.000278304
0.0229679,49.2066,250000,15,500000,0.024807,0.00116963,0.00148646,11.81,0.0236144,0.024807,0.998,0.00788061,0.000274912
0.023137,49.1574,250000,16,500000,0.0256743,0.00137683,0.00142541,11.81,0.0243672,0.0256743,0.998,0.0080592,0.00027696
0.0232753,49.1083,250000,17,500000,0.0254877,0.0012863,0.00119466,11.81,0.0241898,0.0254877,0.998,0.00827005,0.000291072
0.0234056,49.0593,250000,18,500000,0.0256217,0.00116371,0.00119142,11.81,0.0244731,0.0256217,0.998,0.0081279,0.000279328
0.023494,49.0102,250000,19,500000,0.0250834,0.00130339,0.00129014,11.81,0.0239098,0.0250834,0.998,0.00798067,0.00027584
0.0236005,48.9613,250000,20,500000,0.0256246,0.00127952,0.00131507,11.81,0.0243085,0.0256246,0.998,0.00807437,0.000276032
0.0236764,48.9124,250000,21,500000,0.025195,0.00139664,0.00142221,11.81,0.0238168,0.025195,0.998,0.00786288,0.000272704
0.0237661,48.8635,250000,22,500000,0.0256488,0.00131891,0.0013312,11.81,0.0244753,0.0256488,0.998,0.00808454,0.0002752
0.0238377,48.8147,250000,23,500000,0.0254136,0.00116941,0.00118915,11.81,0.0240933,0.0254136,0.998,0.00798138,0.000281888
0.0238917,48.7659,250000,24,500000,0.0251327,0.00126362,0.00159539,11.81,0.0239456,0.0251327,0.998,0.00795718,0.000276992
0.0239435,48.7172,250000,25,500000,0.0251865,0.00127725,0.00141722,11.81,0.0240341,0.0251865,0.998,0.00811824,0.000277056
0.0239926,48.6685,250000,26,500000,0.0252222,0.0014823,0.0013761,11.81,0.0240077,0.0252222,0.998,0.00791002,0.0002752
0.0240577,48.6199,250000,27,500000,0.0257503,0.00131558,0.00143555,11.81,0.0246015,0.0257503,0.998,0.00847075,0.00027552
0.0240988,48.5713,250000,28,500000,0.0252067,0.00130944,0.00137504,11.81,0.0240215,0.0252067,0.998,0.00796502,0.000274304
0.0241318,48.5228,250000,29,500000,0.0250564,0.00118138,0.00143059,11.81,0.0238887,0.0250564,0.998,0.00789446,0.000271776
0.024175,48.4743,250000,30,500000,0.0254282,0.00117114,0.00133997,11.81,0.0241052,0.0254282,0.998,0.00807747,0.000276192
0.0241969,48.4259,250000,31,500000,0.024855,0.00125542,0.00130253,11.81,0.0237011,0.024855,0.998,0.00781069,0.000273888
0.0242345,48.3775,250000,32,500000,0.0253972,0.00116531,0.00129187,11.81,0.024238,0.0253972,0.998,0.008024,0.00027104
0.0242772,48.3292,250000,33,500000,0.0256453,0.00119626,0.00119194,11.81,0.0242375,0.0256453,0.998,0.0081223,0.00027568
0.0243103,48.2809,250000,34,500000,0.0254034,0.00128474,0.00144224,11.81,0.0242258,0.0254034,0.998,0.0080831,0.000270912
0.0243363,48.2327,250000,35,500000,0.0252184,0.00116678,0.00121446,11.81,0.0238761,0.0252184,0.998,0.00787331,0.000278016
0.0243716,48.1845,250000,36,500000,0.0256092,0.00133725,0.00124099,11.81,0.0243913,0.0256092,0.998,0.0080073,0.000273312
0.0243887,48.1363,250000,37,500000,0.0250042,0.00126602,0.00129434,11.81,0.0238468,0.0250042,0.998,0.00798557,0.000281696
