AvgTimeRepulsiveForce,Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,Memory,TimeTraverseAccel,TimeRepulsiveForce,kValue,TimeBuildAccel,TimeCopyBack
0.00025456,1.1,127,1,126,0.00025456,8.192e-06,8.96e-06,0.007724609375,0.000248416,0.00025456,0.976092,0.000189088,1.4144e-05
0.0059665,1.0989,127,2,126,0.0116784,0.00147437,0.00150614,0.007724609375,0.0104685,0.0116784,0.976092,0.00911651,1.0848e-05
0.00920751,1.0978,127,3,126,0.0156895,0.00136589,0.0013783,0.007724609375,0.0143972,0.0156895,0.976092,0.0128668,1.1168e-05
0.0104613,1.09671,127,4,126,0.0142227,0.00133533,0.00119891,0.007724609375,0.0130635,0.0142227,0.976092,0.0115587,9.024e-06
0.0113243,1.09561,127,5,126,0.0147762,0.00115098,0.00123504,0.007724609375,0.0135409,0.0147762,0.976092,0.0120263,1.1936e-05
0.0119084,1.09452,127,6,126,0.0148288,0.00121475,0.00131072,0.007724609375,0.0135183,0.0148288,0.976092,0.0119188,9.088e-06
0.0123497,1.09342,127,7,126,0.014998,0.0013953,0.00140698,0.007724609375,0.0137902,0.014998,0.976092,0.0121529,1.7632e-05
0.0126551,1.09233,127,8,126,0.0147923,0.00140902,0.00145414,0.007724609375,0.0135454,0.0147923,0.976092,0.0120241,1.36e-05
0.0128587,1.09124,127,9,126,0.0144883,0.00124294,0.00115216,0.007724609375,0.0130897,0.0144883,0.976092,0.0118148,9.056e-06
0.0130008,1.09015,127,10,126,0.0142794,0.0011633,0.00144998,0.007724609375,0.01284,0.0142794,0.976092,0.0114899,8.672e-06
0.0131003,1.08906,127,11,126,0.0140953,0.00148064,0.00149094,0.007724609375,0.0127805,0.0140953,0.976092,0.0115202,9.824e-06
0.0133222,1.08797,127,12,126,0.0157628,0.00149197,0.00148896,0.007724609375,0.0143826,0.0157628,0.976092,0.0129546,7.648e-06
0.013471,1.08688,127,13,126,0.0152567,0.00136192,0.0013312,0.007724609375,0.0138793,0.0152567,0.976092,0.0126137,1.4048e-05
0.0135382,1.0858,127,14,126,0.0144123,0.00136221,0.0013744,0.007724609375,0.0131762,0.0144123,0.976092,0.0118902,1.2832e-05
0.0136076,1.08471,127,15,126,0.0145784,0.00123296,0.00116019,0.007724609375,0.0131845,0.0145784,0.976092,0.0118755,1.0368e-05
0.0136649,1.08363,127,16,126,0.0145247,0.0012247,0.00115098,0.007724609375,0.0130686,0.0145247,0.976092,0.0117477,1.2992e-05
0.0137102,1.08255,127,17,126,0.0144352,0.00146051,0.00116122,0.007724609375,0.0132863,0.0144352,0.976092,0.0116706,9.664e-06
0.0137611,1.08147,127,18,126,0.0146262,0.00146314,0.00115507,0.007724609375,0.0131722,0.0146262,0.976092,0.0116774,1.4368e-05
0.0138256,1.08039,127,19,126,0.0149857,0.00146851,0.00115699,0.007724609375,0.0136128,0.0149857,0.976092,0.0123695,1.136e-05
0.0138735,1.07931,127,20,126,0.0147854,0.00155859,0.00115376,0.007724609375,0.013326,0.0147854,0.976092,0.0118934,1.4816e-05
0.0139324,1.07823,127,21,126,0.0151095,0.00121306,0.00140925,0.007724609375,0.0137434,0.0151095,0.976092,0.0125041,8.928e-06
0.0139551,1.07715,127,22,126,0.014432,0.00154883,0.00143187,0.007724609375,0.0130602,0.014432,0.976092,0.011823,9.216e-06
0.0139856,1.07608,127,23,126,0.0146574,0.00115078,0.00143725,0.007724609375,0.0132781,0.0146574,0.976092,0.0117532,1.4496e-05
0.0140141,1.075,127,24,126,0.0146679,0.00147251,0.00115677,0.007724609375,0.0131973,0.0146679,0.976092,0.0117578,1.0592e-05
0.0140324,1.07393,127,25,126,0.0144735,0.00147443,0.00115098,0.007724609375,0.0130404,0.0144735,0.976092,0.0118129,1.0624e-05
0.0140749,1.07285,127,26,126,0.015136,0.00115891,0.00155421,0.007724609375,0.0137802,0.015136,0.976092,0.012536,1.328e-05
0.0140839,1.07178,127,27,126,0.0143194,0.00115533,0.00145613,0.007724609375,0.0129472,0.0143194,0.976092,0.0114243,1.1168e-05
0.0141189,1.07071,127,28,126,0.0150637,0.00141162,0.00121686,0.007724609375,0.0136875,0.0150637,0.976092,0.0121676,9.728e-06
0.0141394,1.06964,127,29,126,0.0147121,0.00142829,0.00145802,0.007724609375,0.0135621,0.0147121,0.976092,0.0120552,1.2032e-05
0.0141688,1.06857,127,30,126,0.015021,0.00118768,0.00115299,0.007724609375,0.0135813,0.015021,0.976092,0.0120381,1.5392e-05
0.0141944,1.06751,127,31,126,0.0149636,0.00137421,0.0013592,0.007724609375,0.0136611,0.0149636,0.976092,0.012418,8.768e-06
0.0141909,1.06644,127,32,126,0.0140808,0.00135862,0.00142691,0.007724609375,0.0127379,0.0140808,0.976092,0.0112981,7.712e-06
0.0142016,1.06537,127,33,126,0.0145454,0.0012168,0.00120643,0.007724609375,0.0132035,0.0145454,0.976092,0.0117542,1.072e-05
0.014224,1.06431,127,34,126,0.014962,0.00133162,0.00115091,0.007724609375,0.0135202,0.014962,0.976092,0.0121048,8.96e-06
0.0142309,1.06325,127,35,126,0.0144668,0.00150074,0.0013401,0.007724609375,0.0131438,0.0144668,0.976092,0.0119157,1.2128e-05
0.0142378,1.06218,127,36,126,0.0144791,0.001164,0.0012177,0.007724609375,0.0133279,0.0144791,0.976092,0.0118141,9.984e-06
0.014253,1.06112,127,37,126,0.0147985,0.00143322,0.00115098,0.007724609375,0.0134961,0.0147985,0.976092,0.0122581,1.1936e-05
0.0142707,1.06006,127,38,126,0.0149254,0.00120013,0.00115526,0.007724609375,0.0134797,0.0149254,0.976092,0.0119757,8.832e-06
0.0142764,1.059,127,39,126,0.0144928,0.00119062,0.00116326,0.007724609375,0.0131842,0.0144928,0.976092,0.0119563,1.376e-05
0.0142913,1.05794,127,40,126,0.014875,0.00116291,0.00146806,0.007724609375,0.0136104,0.014875,0.976092,0.0123744,9.056e-06
0.0142997,1.05689,127,41,126,0.0146342,0.00135798,0.00135578,0.007724609375,0.013348,0.0146342,0.976092,0.0121069,1.4144e-05
0.014297,1.05583,127,42,126,0.014186,0.00135677,0.00143162,0.007724609375,0.0129495,0.014186,0.976092,0.0114913,1.4208e-05
0.014303,1.05478,127,43,126,0.0145564,0.00149475,0.00142432,0.007724609375,0.0132213,0.0145564,0.976092,0.0117646,1.6768e-05
0.0143015,1.05372,127,44,126,0.0142388,0.00136051,0.00115149,0.007724609375,0.0128717,0.0142388,0.976092,0.0114248,1.4304e-05
0.0143131,1.05267,127,45,126,0.0148219,0.00116493,0.00136842,0.007724609375,0.0134119,0.0148219,0.976092,0.0119507,8.576e-06
0.0143112,1.05162,127,46,126,0.0142246,0.00118298,0.00117968,0.007724609375,0.0129792,0.0142246,0.976092,0.0115498,1.52e-05
0.0143234,1.05057,127,47,126,0.0148831,0.0014759,0.00147901,0.007724609375,0.0133189,0.0148831,0.976092,0.0118501,1.3664e-05
0.0143277,1.04952,127,48,126,0.0145331,0.00120538,0.00120013,0.007724609375,0.013222,0.0145331,0.976092,0.0120059,1.5264e-05
0.0143357,1.04847,127,49,126,0.0147178,0.00121526,0.00118698,0.007724609375,0.0132607,0.0147178,0.976092,0.0117177,8.832e-06
0.0143264,1.04742,127,50,126,0.0138729,0.00116122,0.00115658,0.007724609375,0.0125985,0.0138729,0.976092,0.0110974,7.36e-06
0.0143143,1.04638,127,51,126,0.0137075,0.00136182,0.00129677,0.007724609375,0.0124787,0.0137075,0.976092,0.0110248,1.536e-05
0.0143073,1.04533,127,52,126,0.0139498,0.00136877,0.00128362,0.007724609375,0.0127046,0.0139498,0.976092,0.0112753,1.168e-05
0.0143005,1.04429,127,53,126,0.0139502,0.00115325,0.00137386,0.007724609375,0.0127212,0.0139502,0.976092,0.0112738,1.4208e-05
0.0142949,1.04324,127,54,126,0.0139936,0.0011544,0.00137376,0.007724609375,0.0127751,0.0139936,0.976092,0.0113041,1.1936e-05
0.0142893,1.0422,127,55,126,0.0139891,0.00128227,0.00137174,0.007724609375,0.0127611,0.0139891,0.976092,0.0113207,1.536e-05
0.0142835,1.04116,127,56,126,0.0139639,0.0012759,0.00136614,0.007724609375,0.0127372,0.0139639,0.976092,0.0112893,1.2608e-05
0.0142795,1.04012,127,57,126,0.0140553,0.00136778,0.00137702,0.007724609375,0.0128239,0.0140553,0.976092,0.011378,1.296e-05
0.0142716,1.03908,127,58,126,0.0138241,0.00137475,0.00137123,0.007724609375,0.012583,0.0138241,0.976092,0.0111501,1.3088e-05
0.0142621,1.03804,127,59,126,0.0137101,0.00136806,0.00138096,0.007724609375,0.0124983,0.0137101,0.976092,0.0112778,1.7088e-05
0.0142556,1.03701,127,60,126,0.0138682,0.00136534,0.00136566,0.007724609375,0.0126407,0.0138682,0.976092,0.0112899,1.312e-05
0.0142538,1.03597,127,61,126,0.0141466,0.00137126,0.00136397,0.007724609375,0.0128911,0.0141466,0.976092,0.0115476,7.584e-06
0.0142541,1.03493,127,62,126,0.0142745,0.00115315,0.00116496,0.007724609375,0.0129844,0.0142745,0.976092,0.0115385,1.168e-05
0.014237,1.0339,127,63,126,0.0131787,0.00115235,0.00115133,0.007724609375,0.0119196,0.0131787,0.976092,0.0106996,1.6576e-05
0.0142234,1.03287,127,64,126,0.0133667,0.00115299,0.00137011,0.007724609375,0.012142,0.0133667,0.976092,0.0106997,9.408e-06
0.0142196,1.03184,127,65,126,0.0139714,0.00115517,0.00137296,0.007724609375,0.0127467,0.0139714,0.976092,0.0112979,9.984e-06
0.0142159,1.0308,127,66,126,0.0139788,0.00115814,0.00137011,0.007724609375,0.0127469,0.0139788,0.976092,0.0113111,1.456e-05
0.0142123,1.02978,127,67,126,0.0139713,0.0011575,0.00136531,0.007724609375,0.012738,0.0139713,0.976092,0.0112802,1.6288e-05
0.014209,1.02875,127,68,126,0.0139878,0.00127197,0.0013689,0.007724609375,0.0127509,0.0139878,0.976092,0.0113206,9.376e-06
0.0142055,1.02772,127,69,126,0.013973,0.00127814,0.00137091,0.007724609375,0.0127438,0.013973,0.976092,0.0113032,1.0816e-05
0.0142034,1.02669,127,70,126,0.0140538,0.00137149,0.00137318,0.007724609375,0.0128015,0.0140538,0.976092,0.0113743,1.3664e-05
0.0142016,1.02567,127,71,126,0.0140773,0.00136787,0.00137216,0.007724609375,0.0128317,0.0140773,0.976092,0.0114007,1.5232e-05
0.0141985,1.02464,127,72,126,0.0139764,0.00135997,0.00137226,0.007724609375,0.0127866,0.0139764,0.976092,0.0115471,9.664e-06
0.014194,1.02362,127,73,126,0.0138712,0.00137011,0.00137786,0.007724609375,0.0126768,0.0138712,0.976092,0.0114461,9.792e-06
