AvgTimeRepulsiveForce,Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,Memory,TimeTraverseAccel,TimeRepulsiveForce,kValue,TimeBuildAccel,TimeCopyBack
0.0100651,1.1,127,1,126,0.0100651,0.00128394,0.00115098,0.009921875,0.00876544,0.0100651,0.976092,0.00410214,8.608e-06
0.010004,1.0989,127,2,126,0.00994304,0.00115917,0.00117082,0.009921875,0.00855174,0.00994304,0.976092,0.00731155,8.064e-06
0.0101912,1.0978,127,3,126,0.0105655,0.00148432,0.00115274,0.009921875,0.00918928,0.0105655,0.976092,0.0079401,1.0272e-05
0.010567,1.09671,127,4,126,0.0116944,0.00148803,0.00145894,0.009921875,0.0103428,0.0116944,0.976092,0.00878627,1.4656e-05
0.0106009,1.09561,127,5,126,0.0107367,0.00127002,0.00125338,0.009921875,0.00940419,0.0107367,0.976092,0.00804042,7.776e-06
0.0106033,1.09452,127,6,126,0.0106153,0.00125795,0.00125974,0.009921875,0.0092063,0.0106153,0.976092,0.00766605,1.2192e-05
0.010588,1.09342,127,7,126,0.0104961,0.00146419,0.00145651,0.009921875,0.00917712,0.0104961,0.976092,0.00781315,1.6384e-05
0.0106097,1.09233,127,8,126,0.0107611,0.00119802,0.001284,0.009921875,0.0095615,0.0107611,0.976092,0.00832483,8.608e-06
0.01059,1.09124,127,9,126,0.0104329,0.00121258,0.00122822,0.009921875,0.00895501,0.0104329,0.976092,0.00768547,8.448e-06
0.0106001,1.09015,127,10,126,0.0106904,0.00125747,0.00143242,0.009921875,0.0093448,0.0106904,0.976092,0.00806694,1.5552e-05
0.0106032,1.08906,127,11,126,0.0106344,0.00120528,0.00120832,0.009921875,0.0093528,0.0106344,0.976092,0.00802128,1.008e-05
0.0105734,1.08797,127,12,126,0.0102464,0.00125952,0.00120982,0.009921875,0.00896432,0.0102464,0.976092,0.00762496,9.12e-06
0.0105511,1.08688,127,13,126,0.0102823,0.00119594,0.00118752,0.009921875,0.00909424,0.0102823,0.976092,0.00784291,9.152e-06
0.0105256,1.0858,127,14,126,0.0101951,0.00123152,0.00117373,0.009921875,0.00890435,0.0101951,0.976092,0.0075919,1.2672e-05
0.0105177,1.08471,127,15,126,0.0104063,0.00123914,0.0012433,0.009921875,0.00907632,0.0104063,0.976092,0.00780426,1.2192e-05
0.0105,1.08363,127,16,126,0.0102356,0.00119235,0.00121114,0.009921875,0.00888218,0.0102356,0.976092,0.00760832,7.68e-06
0.0105009,1.08255,127,17,126,0.0105144,0.00120294,0.0013912,0.009921875,0.00918976,0.0105144,0.976092,0.00788134,1.296e-05
0.0105001,1.08147,127,18,126,0.0104867,0.0012335,0.00119757,0.009921875,0.00915722,0.0104867,0.976092,0.00785952,1.0752e-05
0.0104896,1.08039,127,19,126,0.0103002,0.00121664,0.0012352,0.009921875,0.0089391,0.0103002,0.976092,0.0076705,1.3088e-05
0.010479,1.07931,127,20,126,0.0102784,0.00142566,0.00119427,0.009921875,0.0089495,0.0102784,0.976092,0.00764688,1.2928e-05
0.0104805,1.07823,127,21,126,0.0105096,0.00123286,0.00120214,0.009921875,0.00917155,0.0105096,0.976092,0.00767725,1.5264e-05
0.0104813,1.07715,127,22,126,0.010499,0.00122874,0.0014288,0.009921875,0.00914854,0.010499,0.976092,0.00788301,1.4112e-05
0.0104711,1.07608,127,23,126,0.0102462,0.00118816,0.00121037,0.009921875,0.00888003,0.0102462,0.976092,0.00764115,1.0336e-05
0.0104697,1.075,127,24,126,0.0104381,0.00117146,0.00120403,0.009921875,0.00912333,0.0104381,0.976092,0.00783213,1.2288e-05
0.010453,1.07393,127,25,126,0.0100516,0.00119194,0.00121248,0.009921875,0.00888416,0.0100516,0.976092,0.00761395,9.888e-06
0.0104458,1.07285,127,26,126,0.010267,0.00123699,0.00118634,0.009921875,0.00894192,0.010267,0.976092,0.00763526,1.0016e-05
0.0104338,1.07178,127,27,126,0.0101212,0.00119808,0.00119603,0.009921875,0.00879037,0.0101212,0.976092,0.00749402,7.968e-06
0.0104366,1.07071,127,28,126,0.0105128,0.00123808,0.00119955,0.009921875,0.0091833,0.0105128,0.976092,0.0076681,1.2928e-05
0.0104328,1.06964,127,29,126,0.0103256,0.0012144,0.00144176,0.009921875,0.00914707,0.0103256,0.976092,0.0078759,9.92e-06
0.0104354,1.06857,127,30,126,0.0105102,0.00120013,0.00121818,0.009921875,0.00912541,0.0105102,0.976092,0.00787686,9.824e-06
